,,Code,Total,United Kingdom,Non-United Kingdom,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
Brent,2006,E09000005,275.0,135.0,139.0,26.0,13.0,11.0,,2.0,113.0,7.0,55.0,12.0,,41.0,2.0,51.0,32.0,2.0,1.0,16.0,
Brent,2007,E09000005,282.0,138.0,144.0,31.0,14.0,12.0,5.0,,113.0,4.0,59.0,16.0,2.0,38.0,3.0,49.0,18.0,,3.0,24.0,4.0
Brent,2008,E09000005,289.0,133.0,155.0,39.0,19.0,14.0,5.0,1.0,117.0,3.0,58.0,13.0,3.0,37.0,5.0,56.0,24.0,4.0,,26.0,2.0
Brent,2009,E09000005,296.0,139.0,157.0,45.0,17.0,13.0,13.0,2.0,113.0,2.0,54.0,12.0,2.0,36.0,4.0,56.0,30.0,3.0,2.0,20.0,
Brent,2010,E09000005,303.0,136.0,167.0,44.0,19.0,15.0,10.0,,122.0,6.0,65.0,13.0,1.0,41.0,9.0,52.0,33.0,2.0,2.0,15.0,
Brent,2011,E09000005,310.0,128.0,182.0,46.0,26.0,9.0,11.0,,136.0,3.0,72.0,12.0,3.0,52.0,5.0,61.0,36.0,6.0,1.0,18.0,
Brent,2012,E09000005,313.0,136.0,176.0,48.0,22.0,13.0,13.0,,129.0,2.0,75.0,15.0,2.0,51.0,7.0,52.0,30.0,3.0,2.0,15.0,1.0
Brent,2013,E09000005,317.0,144.0,170.0,45.0,23.0,11.0,10.0,,126.0,3.0,76.0,19.0,1.0,49.0,6.0,47.0,29.0,3.0,1.0,12.0,2.0
Brent,2014,E09000005,322.0,141.0,179.0,53.0,23.0,19.0,10.0,1.0,126.0,6.0,75.0,16.0,2.0,50.0,6.0,46.0,28.0,3.0,3.0,10.0,2.0
Brent,2015,E09000005,323.0,145.0,174.0,39.0,19.0,11.0,9.0,,135.0,4.0,74.0,15.0,1.0,52.0,7.0,56.0,35.0,5.0,4.0,10.0,2.0
Brent,2016,E09000005,329.0,148.0,180.0,55.0,27.0,18.0,9.0,,126.0,4.0,72.0,15.0,1.0,50.0,6.0,49.0,30.0,5.0,3.0,8.0,3.0
Brent,2017,E09000005,333.0,155.0,178.0,56.0,21.0,12.0,22.0,,122.0,4.0,67.0,14.0,,48.0,3.0,51.0,37.0,4.0,1.0,8.0,1.0
Brent,2018,E09000005,328.0,158.0,171.0,50.0,24.0,12.0,14.0,,121.0,3.0,68.0,22.0,4.0,40.0,2.0,50.0,29.0,6.0,,12.0,2.0
Bromley,2004,E09000006,295.0,264.0,31.0,8.0,8.0,,,,22.0,2.0,6.0,,,5.0,1.0,14.0,7.0,,2.0,2.0,2.0
Bromley,2005,E09000006,297.0,253.0,44.0,10.0,8.0,1.0,,1.0,34.0,3.0,9.0,,,7.0,1.0,23.0,11.0,1.0,3.0,5.0,2.0
Bromley,2006,E09000006,299.0,265.0,35.0,12.0,8.0,3.0,,,23.0,1.0,6.0,1.0,1.0,3.0,1.0,15.0,10.0,,2.0,3.0,1.0
Bromley,2007,E09000006,300.0,264.0,36.0,13.0,10.0,2.0,,1.0,23.0,4.0,8.0,1.0,1.0,4.0,2.0,11.0,8.0,,1.0,2.0,
Bromley,2008,E09000006,303.0,264.0,38.0,11.0,7.0,3.0,,,28.0,4.0,6.0,,1.0,4.0,1.0,18.0,11.0,,2.0,5.0,
Bromley,2009,E09000006,304.0,270.0,35.0,8.0,6.0,1.0,,,27.0,2.0,6.0,,,2.0,2.0,19.0,12.0,,1.0,3.0,2.0
Bromley,2010,E09000006,306.0,267.0,39.0,8.0,7.0,1.0,,,31.0,3.0,11.0,,,7.0,3.0,17.0,11.0,,,2.0,3.0
Bromley,2011,E09000006,308.0,259.0,49.0,11.0,6.0,4.0,,1.0,38.0,5.0,16.0,4.0,2.0,8.0,2.0,17.0,11.0,1.0,1.0,3.0,1.0
Bromley,2012,E09000006,312.0,262.0,50.0,13.0,8.0,4.0,,1.0,37.0,5.0,17.0,4.0,5.0,8.0,2.0,14.0,8.0,,2.0,3.0,
Bromley,2013,E09000006,314.0,265.0,49.0,10.0,7.0,2.0,1.0,,39.0,5.0,17.0,2.0,2.0,11.0,2.0,17.0,8.0,1.0,2.0,4.0,2.0
Bromley,2014,E09000006,316.0,262.0,54.0,18.0,8.0,7.0,2.0,1.0,36.0,4.0,17.0,2.0,,11.0,3.0,15.0,8.0,,2.0,3.0,2.0
Bromley,2015,E09000006,322.0,263.0,59.0,17.0,9.0,7.0,,1.0,41.0,4.0,16.0,5.0,2.0,8.0,,21.0,10.0,1.0,3.0,5.0,2.0
Bromley,2016,E09000006,326.0,275.0,52.0,20.0,10.0,6.0,3.0,,32.0,5.0,11.0,1.0,2.0,7.0,,16.0,8.0,,3.0,3.0,1.0
Bromley,2017,E09000006,330.0,279.0,51.0,17.0,9.0,5.0,3.0,,34.0,4.0,17.0,3.0,1.0,9.0,3.0,14.0,8.0,,1.0,3.0,1.0
Bromley,2018,E09000006,332.0,272.0,60.0,20.0,9.0,4.0,6.0,,40.0,3.0,15.0,2.0,,9.0,4.0,21.0,13.0,,2.0,3.0,3.0
Camden,2004,E09000007,203.0,126.0,77.0,16.0,13.0,3.0,,1.0,61.0,5.0,22.0,3.0,5.0,12.0,2.0,34.0,14.0,2.0,7.0,4.0,6.0
Camden,2005,E09000007,207.0,129.0,77.0,17.0,15.0,2.0,,,61.0,6.0,23.0,4.0,2.0,12.0,5.0,31.0,17.0,2.0,6.0,5.0,2.0
