Borough,Year,"Decisions made during the year per 1,000 households","Households accommodated by the authority on 31 March per 1,000 households"
Hillingdon,2004,4.519607843137255,18.41176470588235
Hillingdon,2005,3.8823529411764706,16.137254901960784
Hillingdon,2006,3.1414141414141414,14.98989898989899
Hillingdon,2007,3.552525159454119,13.913203722473048
Hillingdon,2008,3.5241671519508424,11.787385288861222
Hillingdon,2009,4.52,11.86
Hillingdon,2010,1.5784313725490196,9.235294117647058
Hillingdon,2011,1.14,5.91
Hillingdon,2012,0.88,4.96
Hillingdon,2013,2.877381487252531,5.248114406982191
Hillingdon,2014,2.8860164512338424,5.443008225616921
Hillingdon,2015,3.04,5.64
Hillingdon,2016,2.5,5.91
Hillingdon,2017,2.32,4.69
Hounslow,2004,10.01123595505618,13.865168539325843
Hounslow,2005,7.573033707865169,14.595505617977528
Hounslow,2006,5.5476190476190474,14.583333333333334
Hounslow,2007,4.5072150838318406,13.214871449978173
Hounslow,2008,3.8002732522761455,10.333069266007646
Hounslow,2009,1.9885057471264367,7.563218390804598
Hounslow,2010,2.1739130434782608,6.739130434782608
Hounslow,2011,4.84,8.05
Hounslow,2012,6.58,11
Hounslow,2013,6.2691515547294925,10.920781634600894
Hounslow,2014,4.444794084097078,10.895645675176022
Hounslow,2015,5.22,9.73
Hounslow,2016,3.55,8.06
Hounslow,2017,2.29,6.51
Islington,2004,13.294117647058824,18.235294117647058
Islington,2005,..,17.894117647058824
Islington,2006,8.265060240963855,14.975903614457831
Islington,2007,4.750396853602483,11.905608074490013
Islington,2008,2.9229335205238263,10.069160749836016
Islington,2009,2.310344827586207,9.35632183908046
Islington,2010,3.8275862068965516,10.344827586206897
Islington,2011,4.75,10.89
Islington,2012,4.27,10.5
Islington,2013,4.065082065754485,10.228928305808278
Islington,2014,3.968610089044442,9.113843269815629
Islington,2015,3.67,9.19
Islington,2016,3.72,7.62
Islington,2017,2.06,6.9
Kensington and Chelsea,2004,6.472527472527473,13.142857142857142
Kensington and Chelsea,2005,3.2857142857142856,12.285714285714286
Kensington and Chelsea,2006,..,10.738636363636363
Kensington and Chelsea,2007,2.613940215110493,11.019316778378638
Kensington and Chelsea,2008,2.9203315095689915,11.819839785765403
Kensington and Chelsea,2009,2.9310344827586206,11.425287356321839
Kensington and Chelsea,2010,4.235294117647059,13.670588235294117
Kensington and Chelsea,2011,6.28,16.14
Kensington and Chelsea,2012,8.73,21
Kensington and Chelsea,2013,6.955107939662181,22.633134185839452
Kensington and Chelsea,2014,5.18903847891469,23.144144260432935
Kensington and Chelsea,2015,7.08,23.71
Kensington and Chelsea,2016,6.09,23.35
Kensington and Chelsea,2017,8.93,28.15
Kingston upon Thames,2004,4.09375,..
Kingston upon Thames,2005,..,11.984375
Kingston upon Thames,2006,3.6507936507936507,12.88888888888889
Kingston upon Thames,2007,3.2756274329841437,12.263822514795708
Kingston upon Thames,2008,3.3293116877166726,10.323920646314086
Kingston upon Thames,2009,2.1538461538461537,8.692307692307692
Kingston upon Thames,2010,2.014705882352941,7.529411764705882
Kingston upon Thames,2011,2.59,7.31
Kingston upon Thames,2012,2.88,6.71
Kingston upon Thames,2013,3.0901131526727967,7.286002090370663
Kingston upon Thames,2014,3.3084454777127017,7.973055543136466
Kingston upon Thames,2015,3.12,9.22
Kingston upon Thames,2016,3.41,9.58
Kingston upon Thames,2017,2.67,9.91
Lambeth,2004,12.646153846153846,18.29230769230769
Lambeth,2005,9.823076923076924,18.50769230769231
Lambeth,2006,6.228813559322034,20.771186440677965
Lambeth,2007,5.9641979167546655,17.875698005457323
Lambeth,2008,7.424965724574241,15.890582930012059
Lambeth,2009,5.1652892561983474,13.214876033057852
Lambeth,2010,6.309523809523809,10.126984126984127
Lambeth,2011,7.61,9.69
Lambeth,2012,5.05,9.67
Lambeth,2013,5.216622458001768,11.295313881520778
Lambeth,2014,3.6567315784891314,13.531357924369503
Lambeth,2015,3.76,13.34
Lambeth,2016,3.6,13.89
Lambeth,2017,3.21,14.43
Lewisham,2004,11.116071428571429,16.491071428571427
Lewisham,2005,9.794642857142858,20.392857142857142
Lewisham,2006,6.953271028037383,23.91588785046729
Lewisham,2007,7.501909995489649,23.048813041357157
Lewisham,2008,8.01068090787717,16.200571679465238
Lewisham,2009,5.607142857142857,11.125
Lewisham,2010,4.791304347826087,8.034782608695652
Lewisham,2011,4.93,9.47
Lewisham,2012,--,..
Lewisham,2013,5.8612775934089525,11.895916918453944
Lewisham,2014,6.233635693036,13.975016820278366
Lewisham,2015,6.15,13.91
Lewisham,2016,5.93,14.4
Lewisham,2017,4.66,14.75
Merton,2004,3.107142857142857,1.8571428571428572
Merton,2005,2.5595238095238093,1.6428571428571428
Merton,2006,1.3209876543209877,1.4814814814814814
Merton,2007,1.172709205150045,1.2961522793763656
Merton,2008,0.7968696107232485,0.8444439158410543
Merton,2009,1.1428571428571428,0.9047619047619048
Merton,2010,1.0229885057471264,0.8735632183908046
Merton,2011,1.16,0.97
Merton,2012,1.21,1.01
Merton,2013,1.2660872985630525,1.3521320664265608
Merton,2014,1.5964587641957837,1.753685763699914
Merton,2015,1.6800000000000002,2.08
Merton,2016,1.37,2.22
Merton,2017,1.44,1.94
Newham,2004,4.1020408163265305,59.33673469387755
Newham,2005,14.510204081632653,62.316326530612244
Newham,2006,4.602150537634409,64.90322580645162
Newham,2007,4.3243357545384375,59.155644368319216
Newham,2008,2.635184989986297,47.24359650047433
Newham,2009,1.0210526315789474,37.11578947368421
Newham,2010,1.0543478260869565,29.456521739130434
Newham,2011,2.7,24.49
Newham,2012,8.49,25.32
Newham,2013,12.270394883617165,26.74388339406559
Newham,2014,8.346473818715676,29.92405705689377
Newham,2015,11.89,34.97
Newham,2016,10.15,37.5
Newham,2017,9.36,40.08
Redbridge,2004,5.252525252525253,..
Redbridge,2005,6.05050505050505,27.838383838383837
Redbridge,2006,4.315789473684211,29.157894736842106
Redbridge,2007,5.018450184501845,28.877174486030576
Redbridge,2008,3.746364887660799,26.245252362176206
Redbridge,2009,2.6288659793814433,22.4020618556701
Redbridge,2010,3.6732673267326734,20.633663366336634
Redbridge,2011,4.02,20.82
Redbridge,2012,4.19,20.72
Redbridge,2013,4.294460725995996,19.953766841733646
Redbridge,2014,4.238654250981433,20.406228071839028
Redbridge,2015,4.72,20.49
Redbridge,2016,4.23,21.05
Redbridge,2017,4.45,20.31
Richmond upon Thames,2004,3.4444444444444446,5.654320987654321
Richmond upon Thames,2005,3.1358024691358026,4.888888888888889
Richmond upon Thames,2006,1.9,4.05
Richmond upon Thames,2007,1.7850906127517558,3.5701812255035117
