,,Domestic consumers,Domestic consumers,Commercial and industrial consumers,Commercial and industrial consumers,All consumers,All consumers,Sales per consumer,Sales per consumer
,,Sales in the year - GWh,Number of MPANs (thousands),Sales in the year - GWh,Number of MPANs (thousands),Sales in the year - GWh,Number of MPANs (thousands),Average domestic consumption kWh,Average industrial and commercial consumption kWh
"('', 'Borough')","('', 'Year')",,,,,,,,
Hackney,2004,333.40322007110876,87.17901159844766,407.20989680807446,17.280675068285152,740.6131168791833,104.45968666673281,3824.3519163395226,23564.466966653286
Hammersmith and Fulham,2004,285.36204717400415,75.26019822599274,685.345373130768,13.496539816440023,970.7074203047721,88.75673804243276,3791.6728084759175,50779.3391826218
Haringey,2004,430.8948018094281,99.35106062223383,449.7781702680908,10.047674861185797,880.6729720775189,109.39873548341961,4337.093123221252,44764.403355206625
Harrow,2004,402.09573400958885,84.01957659999417,293.6159365605918,6.029719027005243,695.7116705701807,90.04929562699942,4785.738637126347,48694.795768356205
Havering,2004,466.78001153911447,97.11127313537813,385.03013516169426,7.254246622333979,851.8101467008088,104.3655197577121,4806.651138106274,53076.51575785754
Hillingdon,2004,466.9944729676191,102.39701355684045,1240.9803860519135,7.784362242838929,1707.9748590195327,110.18137579967939,4560.6259083756495,159419.66051149904
Hounslow,2004,397.65015268999247,92.16180523317581,958.2846373712697,8.178774607237617,1355.9347900612622,100.34057984041343,4314.695786219788,117167.26323809655
Islington,2004,305.19799639141064,84.61262977109045,864.4232988620088,18.294392570937756,1169.6212952534195,102.9070223420282,3607.0028459945993,47250.72425936791
Kensington and Chelsea,2004,365.337444969479,83.13116008362101,1059.5556765781364,18.69904729475177,1424.8931215476155,101.83020737837278,4394.711256308571,56663.61819810574
Kingston upon Thames,2004,290.65321732580315,62.29620608328703,358.7516151924361,6.954454509429985,649.4048325182392,69.25066059271701,4665.664822946261,51585.87416252159
Lambeth,2004,452.1113591004213,119.61076193942438,642.7278930346641,17.537761684929695,1094.8392521350856,137.14852362435408,3779.8551883599603,36648.22823923786
Lewisham,2004,427.25461965758967,108.69292059419419,355.353691944543,11.270800366888423,782.6083116021326,119.96372096108261,3930.84128498808,31528.70074679949
Merton,2004,321.95594553947484,74.61549248205851,360.5433084274086,7.109666180434347,682.4992539668834,81.72515866249286,4314.86725919406,50711.70703057989
Newham,2004,358.2302243812004,92.21104633854223,849.6320316763988,11.028709085524044,1207.862256057599,103.23975542406627,3884.8949079918193,77038.21227740974
Redbridge,2004,409.5249689821693,91.6908846066165,281.07506875536876,7.8297313007834894,690.600037737538,99.5206159074,4466.365121671185,35898.43098795009
Richmond upon Thames,2004,358.1935431003821,78.65954223205385,399.74523710656047,9.18105867754551,757.9387802069425,87.84060090959935,4553.720158244422,43540.2115536233
Southwark,2004,441.54799073634354,112.86578143180127,1282.2432289194965,17.96739343254069,1723.79121965584,130.83317486434197,3912.1510978342653,71365.01094239023
Sutton,2004,364.60110687369263,77.70309388620083,310.1255427577503,6.780159731009304,674.7266496314429,84.48325361721014,4692.234100841145,45740.15289630715
Tower Hamlets,2004,339.35204540717103,86.4563557094712,2322.1759362092757,15.349770205607046,2661.5279816164466,101.80612591507824,3925.1254881426307,151284.08471945845
Waltham Forest,2004,380.37149200871966,90.76187411445808,365.3825787795428,8.917935009969378,745.7540707882625,99.67980912442746,4190.8730479610895,40971.65749370016
Wandsworth,2004,480.6093879055883,121.51180680490602,632.868754230722,15.948043956827087,1113.47814213631,137.4598507617331,3955.2484696177175,39683.15838255522
Westminster,2004,466.3400604100868,111.34181404759494,3408.616913946526,44.14832117204736,3874.956974356613,155.49013521964227,4188.364132550794,77208.30200231264
City of London,2005,25.66257870000006,5.52,2589.9454314999994,7.94,2615.6080101999996,13.46,4649.017880434794,326189.6009445843
Barking and Dagenham,2005,304.2517681,71.661,479.0393944,5.61,783.2911624999999,77.271,4245.709215612397,85390.26638146167
Barnet,2005,683.8011652000001,136.624,554.6665921,12.221,1238.4677573000001,148.845,5004.9856921185155,45386.35071598069
Bexley,2005,424.39077569999995,93.929,444.61743580000007,6.663,869.0082115,100.592,4518.2081753239145,66729.31649407175
Brent,2005,462.6181182,108.36,757.5955654,14.502,1220.2136836,122.862,4269.27019379845,52240.76440490967
Bromley,2005,614.2577887,132.03,477.9649612,11.124,1092.2227499,143.154,4652.4107301370905,42967.00478245236
Camden,2005,372.93656980000014,97.098,1445.2113675000003,28.167,1818.1479373000004,125.265,3840.8264825228134,51308.67211630633
Croydon,2005,640.6775049000004,140.57,747.6550922,12.744,1388.3325971000004,153.314,4557.7114953404025,58667.22317953547
Ealing,2005,527.8101986999997,125.001,802.8476829999997,11.719,1330.6578816999995,136.72,4222.4478100175165,68508.2074409079
Enfield,2005,569.0238949999999,121.392,575.5171991000002,8.972,1144.5410941,130.364,4687.490897258468,64145.92054168527
Greenwich,2005,399.8317800999999,100.548,422.1572157999999,8.977,821.9889958999997,109.525,3976.5264361300065,47026.53623705023
Hackney,2005,346.92637850000017,92.676,428.1032607,17.404,775.0296392000002,110.08,3743.4328035305816,24597.980964146172
Hammersmith and Fulham,2005,303.28164940000016,79.077,690.1730732999998,13.975,993.4547227,93.05199999999999,3835.2700456517086,49386.266425760274
Haringey,2005,420.9561838999999,100.418,378.10879470000003,10.03,799.0649785999999,110.44800000000001,4192.039115497221,37697.78611166501
Harrow,2005,395.6326794999999,84.687,293.35057279999995,6.016,688.9832522999998,90.703,4671.7049783319735,48761.730851063825
Havering,2005,459.24767980000007,97.735,422.9141392,7.23,882.1618190000002,104.965,4698.907042512918,58494.34843706777
Hillingdon,2005,465.3934751,102.769,1321.0345724999993,7.813,1786.4280475999992,110.58200000000001,4528.53949245395,169081.60405734027
Hounslow,2005,401.6364176,92.463,941.9764051999997,8.063,1343.6128227999998,100.526,4343.752826536021,116827.0377278928
Islington,2005,324.6351911,90.299,917.3526075000002,18.694,1241.9877986000001,108.99300000000001,3595.113911560482,49072.034208837074
Kensington and Chelsea,2005,390.5862422,87.859,1109.2452467000003,19.443,1499.8314889000003,107.30199999999999,4445.603093593144,57051.13648613898
Kingston upon Thames,2005,296.22418689999984,63.363,347.140941,6.744,643.3651278999998,70.107,4675.034119280966,51474.04225978648
Lambeth,2005,472.19472790000015,126.131,673.2221642000001,18.246,1145.4168921000003,144.377,3743.6849616668396,36896.97271730791
Lewisham,2005,450.4457069000002,114.126,432.47972120000003,11.695,882.9254281000002,125.821,3946.9157501358163,36979.88210346302
Merton,2005,340.68454440000005,78.402,366.42420319999997,7.418,707.1087476,85.82,4345.355276651106,49396.63025074143
Newham,2005,374.53035559999995,97.256,706.2890479000001,11.187,1080.8194035000001,108.443,3850.974290532203,63134.80360239565
Redbridge,2005,435.2446415,97.415,315.0603246,8.11,750.3049661,105.525,4467.942734691782,38848.37541307029
Richmond upon Thames,2005,368.37991029999995,80.031,423.8373664643799,9.111,792.2172767643799,89.14200000000001,4602.965229723482,46519.30265222037
Southwark,2005,466.97440969999997,119.243,1370.7042678999996,18.394,1837.6786775999997,137.637,3916.1578432276942,74519.09687398063
Sutton,2005,362.88381660000005,78.049,313.86843319999997,6.504,676.7522498000001,84.55300000000001,4649.435823649246,48257.75418204182
