Borough,Year,All recorded offences,Burglary,Criminal Damage,Drugs,Fraud or Forgery,Mid-year estimates,Other Notifiable Offences,Robbery,Sexual Offences,Theft and Handling,Violence Against the Person
Harrow,2005,79.06055384448396,11.062417178857483,10.049342179648953,2.270373435726271,5.757341401752077,221109.0,0.6467398432447344,3.8985296844542736,0.7055343744488013,30.97567263205025,13.69460311430109
Harrow,2006,70.81723545825284,8.759927022966302,9.2741646991486,3.237461543965085,3.8008871717822137,223632.0,0.8585533376261001,3.4386849824712025,0.8943263933605209,27.719646562209345,12.833583744723475
Harrow,2007,62.176669391000864,10.138941043935409,7.8195754456495346,3.763999028075368,2.677210576307128,226355.0,0.6096618144065737,2.332619115990369,0.7421969914514811,22.71211150626229,11.380353868922711
Harrow,2008,65.54513497148982,10.14518637260582,8.158838160537009,4.281974325578154,3.362852674818245,229567.0,0.9060535704173508,2.382746649126399,0.7013203117172764,21.989223189744173,13.616939716945382
Harrow,2009,65.92004111437076,9.661877127989893,7.995888562924259,4.171395533094927,3.9358444506306345,233495.0,0.9978800402578214,2.000042827469539,0.8779631255487269,21.443713998158422,14.835435448296538
Harrow,2010,63.057220226488845,10.124194044244918,6.641370219540032,3.77341009302972,4.152435660409937,237451.0,0.94335252325743,1.8698594657424057,0.7243599732155266,21.107512707885,13.720725539163865
Harrow,2011,58.91500588360034,11.255764057231007,6.029131098258206,2.8066644767753712,3.4844219726485353,240499.0,0.8856585682268949,3.0104075276820286,0.7068636460026861,18.823363090906824,11.912731445868795
Harrow,2012,55.54569946818386,10.277377803999554,5.2232678843289575,2.8261757509994765,2.4507275855382322,242377.0,0.9035510795166208,2.6570177863411133,0.8334124112436411,18.5207342280827,11.853434938133569
Harrow,2013,50.27694229410121,8.312377759150603,4.454086747859244,4.178788028203736,0.0862876583994872,243372.0,0.9820357313084496,1.7668425291323568,0.8998570090232236,16.45628913761649,13.140377693407626
Harrow,2014,50.06280206982615,6.353374442606225,4.885960383885274,3.573010962924422,0.1016214722105922,246011.0,0.9471121210027194,1.2194576665271064,1.1178361943165145,16.722829466975053,15.14159935937824
Harrow,2015,53.30797555942217,7.655889612754422,4.827418767450331,2.2376886658843524,0.06878970582284627,247130.0,0.9023590822643952,1.4850483551167402,1.1168211063003275,17.480678185570348,17.533282078258406
Harrow,2016,45.462951051649846,6.464269634012992,4.120569884865248,1.4673248858300636,0.06432109088570143,248752.0,0.9447160223837396,1.2060204541069015,0.9768765678265904,15.782787676078987,14.436064835659614
Havering,1999,83.23438718366769,10.51339760402637,13.193804494222727,2.4455943857659315,7.097540228255477,225712.0,0.7310200609626427,1.063301906854753,0.6424115687247466,35.75795704260296,11.789359892252074
Havering,2000,87.77166309112957,10.464553324361178,17.122603168680953,1.99430579059345,7.4841987909798755,225141.0,0.7284324045820175,1.7411311133911638,0.7017824385607242,35.15574684308944,12.378909216890747
Havering,2001,97.3135098813174,11.42325680745115,19.210829621256963,2.3985724266521893,7.382619027487907,224717.0,0.903358446401474,2.4430728427310795,0.7698571981648028,38.430559325729696,14.351384185442136
Havering,2002,95.69703271214908,10.60189998844722,18.177859535933603,1.8839922862957332,7.4026678041714415,225054.0,0.8931189847769869,2.1283780781501327,0.7909212900015108,36.484577034844975,17.33361770952749
Havering,2003,98.40264952408012,9.59386986787896,20.319825259269784,2.0954681062650944,7.507280863759056,225248.0,0.7147677226878818,2.273050149168916,0.8035587441397926,37.68290950419094,17.411919306719707
Havering,2004,94.92445818513613,10.253843530334104,18.877702430360237,2.236799560612839,7.4899565485075446,225769.0,0.6821131333354004,1.9577532787938117,0.7042596636384977,34.15880833949745,18.563221700056253
