Year,Borough,IP,Volume
1995-05-01,Lewisham,17.20341303,311
1995-05-01,Merton,19.0527152,269
1995-05-01,NORTH EAST,36.93075778,2857
1995-05-01,NORTH WEST,32.50757011,7641
1995-05-01,Newham,20.06381312,284
1995-05-01,Outer London,20.86565915,5813
1995-05-01,Redbridge,22.26337848,399
1995-05-01,Richmond upon Thames,18.15612877,289
1995-05-01,SOUTH EAST,24.3650329,11975
1995-05-01,SOUTH WEST,25.6949494,6990
1995-05-01,Southwark,14.40549669,212
1995-05-01,Sutton,22.68257117,310
1995-05-01,Tower Hamlets,16.31342579,186
1995-05-01,WEST MIDLANDS,31.74237812,6094
1995-05-01,Waltham Forest,18.15517617,281
1995-05-01,Wandsworth,15.62147122,517
1995-05-01,Westminster,13.71128578,317
1995-05-01,YORKS & THE HUMBER,32.92311781,6200
1995-06-01,Barking & Dagenham,24.40146838,148
1995-06-01,Barnet,19.52983267,436
1995-06-01,Bexley,24.54708956,324
1995-06-01,Brent,17.56981352,311
1995-06-01,Bromley,22.09510571,431
1995-06-01,Camden,15.8352119,248
1995-06-01,City of London,12.10980743,17
1995-06-01,Croydon,23.90858146,466
1995-06-01,EAST MIDLANDS,29.72623573,6283
1995-06-01,EAST OF ENGLAND,24.65826592,8864
1995-06-01,Ealing,19.79484859,353
1995-06-01,Enfield,22.57383753,428
1995-06-01,England,26.4893698,72640
1995-06-01,Greenwich,20.39669836,233
1995-06-01,Hackney,14.25703521,175
1995-06-01,Hammersmith & Fulham,17.22848519,291
1995-06-01,Haringey,17.53651411,303
1995-06-01,Harrow,21.5439635,256
1995-06-01,Havering,24.65265129,274
1995-06-01,Hillingdon,22.38457761,311
1995-06-01,Hounslow,21.58236391,350
1995-06-01,Inner London,15.6012824,3830
1995-06-01,Islington,15.80812431,184
1995-06-01,Kensington & Chelsea,15.01996747,294
1995-06-01,Kingston upon Thames,19.25628796,262
1995-06-01,LONDON,18.76795922,10150
1995-06-01,Lambeth,15.61098975,304
1995-06-01,Lewisham,17.05358132,332
1995-06-01,Merton,19.01288722,331
1995-06-01,NORTH EAST,36.11892471,3251
1995-06-01,NORTH WEST,32.42623035,9171
1995-06-01,Newham,20.15866374,279
1995-06-01,Outer London,20.99082089,6320
1995-06-01,Redbridge,22.23654898,356
1995-06-01,Richmond upon Thames,19.02549994,372
1995-06-01,SOUTH EAST,24.73529942,13288
1995-06-01,SOUTH WEST,25.56403911,7802
1995-06-01,Southwark,14.34630875,254
1995-06-01,Sutton,22.80158687,349
1995-06-01,Tower Hamlets,16.26414267,231
1995-06-01,WEST MIDLANDS,31.57271145,6916
1995-06-01,Waltham Forest,18.1710087,329
1995-06-01,Wandsworth,15.90969052,548
1995-06-01,Westminster,13.77795072,370
1995-06-01,YORKS & THE HUMBER,33.33558715,6915
1995-07-01,Barking & Dagenham,23.68023166,117
1995-07-01,Barnet,19.8189665,429
1995-07-01,Bexley,24.34475138,314
1995-07-01,Brent,17.52644045,303
1995-07-01,Bromley,22.2334135,399
1995-07-01,Camden,16.1132484,248
1995-07-01,City of London,14.05292079,13
1995-07-01,Croydon,23.93973249,427
1995-07-01,EAST MIDLANDS,29.95899435,5359
1995-07-01,EAST OF ENGLAND,25.07589877,7985
1995-07-01,Ealing,19.96982189,374
1995-07-01,Enfield,22.72862421,390
1995-07-01,England,26.57093108,64242
1995-07-01,Greenwich,20.62815264,240
1995-07-01,Hackney,14.57011823,152
1995-07-01,Hammersmith & Fulham,16.98357434,226
1995-07-01,Haringey,17.70977879,255
1995-07-01,Harrow,21.55764432,266
1995-07-01,Havering,24.73051232,274
1995-07-01,Hillingdon,22.58606353,287
1995-07-01,Hounslow,21.99613377,328
1995-07-01,Inner London,15.71469419,3493
1995-07-01,Islington,16.05916155,186
1995-07-01,Kensington & Chelsea,15.07307998,314
1995-07-01,Kingston upon Thames,19.33127567,261
1995-07-01,LONDON,18.86179022,9445
1995-07-01,Lambeth,15.77588254,324
1995-07-01,Lewisham,17.07853896,294
1995-07-01,Merton,19.09557214,303
1995-07-01,NORTH EAST,36.94893155,2719
1995-07-01,NORTH WEST,32.42374825,7393
1995-07-01,Newham,19.9395404,240
1995-07-01,Outer London,21.12748329,5952
1995-07-01,Redbridge,22.4215701,363
1995-07-01,Richmond upon Thames,19.32749843,309
1995-07-01,SOUTH EAST,24.62726648,12565
1995-07-01,SOUTH WEST,25.49155822,6941
1995-07-01,Southwark,14.98785,264
1995-07-01,Sutton,23.01759576,294
1995-07-01,Tower Hamlets,15.88599173,151
1995-07-01,WEST MIDLANDS,31.42120021,6022
1995-07-01,Waltham Forest,18.28488963,274
1995-07-01,Wandsworth,16.21957283,503
1995-07-01,Westminster,13.66409425,323
1995-07-01,YORKS & THE HUMBER,33.44013306,5813
1995-08-01,Barking & Dagenham,23.73434036,150
1995-08-01,Barnet,20.01838182,425
1995-08-01,Bexley,24.61596284,297
1995-08-01,Brent,17.38930724,341
1995-08-01,Bromley,22.00701187,453
1995-08-01,Camden,16.30841273,259
1995-08-01,City of London,14.33383048,14
1995-08-01,Croydon,23.8881238,480
1995-08-01,EAST MIDLANDS,29.88406883,5656
1995-08-01,EAST OF ENGLAND,24.85253057,8535
1995-08-01,Ealing,20.05577023,377
1995-08-01,Enfield,22.8553082,411
1995-08-01,England,26.42290131,69269
1995-08-01,Greenwich,20.49903153,240
1995-08-01,Hackney,14.50749252,131
1995-08-01,Hammersmith & Fulham,16.88032047,298
1995-08-01,Haringey,17.81315635,282
1995-08-01,Harrow,21.60983708,285
1995-08-01,Havering,24.85384825,274
1995-08-01,Hillingdon,22.67581741,345
1995-08-01,Hounslow,22.22354922,372
1995-08-01,Inner London,15.72389592,3674
1995-08-01,Islington,16.05511612,154
1995-08-01,Kensington & Chelsea,15.07872239,279
1995-08-01,Kingston upon Thames,19.52266635,278
1995-08-01,LONDON,18.74887008,9965
1995-08-01,Lambeth,15.60166833,312
1995-08-01,Lewisham,17.08586596,325
1995-08-01,Merton,19.03083061,323
1995-08-01,NORTH EAST,35.76359489,2969
1995-08-01,NORTH WEST,32.48555182,7962
1995-08-01,Newham,19.67025774,265
1995-08-01,Outer London,21.13471749,6291
1995-08-01,Redbridge,22.54288428,327
1995-08-01,Richmond upon Thames,18.93368999,321
1995-08-01,SOUTH EAST,24.48632526,13609
1995-08-01,SOUTH WEST,25.53846366,7680
1995-08-01,Southwark,14.65269261,232
1995-08-01,Sutton,22.74734185,299
1995-08-01,Tower Hamlets,15.58641735,239
1995-08-01,WEST MIDLANDS,31.25637543,6518
1995-08-01,Waltham Forest,18.2798396,293
1995-08-01,Wandsworth,16.3513962,531
1995-08-01,Westminster,13.98471021,353
1995-08-01,YORKS & THE HUMBER,33.129093,6375
1995-09-01,Barking & Dagenham,23.38873004,112
1995-09-01,Barnet,20.21600685,423
1995-09-01,Bexley,24.64536007,281
1995-09-01,Brent,17.44664385,277
1995-09-01,Bromley,21.84235255,408
1995-09-01,Camden,15.66753998,263
1995-09-01,City of London,13.33132147,17
1995-09-01,Croydon,24.02664477,480
1995-09-01,EAST MIDLANDS,29.78588853,5654
1995-09-01,EAST OF ENGLAND,24.64527323,8030
1995-09-01,Ealing,19.88709792,327
1995-09-01,Enfield,22.69308766,432
1995-09-01,England,26.27940676,67251
1995-09-01,Greenwich,20.15895301,224
1995-09-01,Hackney,14.64718622,125
1995-09-01,Hammersmith & Fulham,16.80777846,249
1995-09-01,Haringey,18.01607678,276
1995-09-01,Harrow,21.39902835,230
1995-09-01,Havering,24.52431179,274
1995-09-01,Hillingdon,22.33574217,320
1995-09-01,Hounslow,22.20764925,344
1995-09-01,Inner London,15.68589299,3392
1995-09-01,Islington,16.15756742,162
1995-09-01,Kensington & Chelsea,15.00337435,287
1995-09-01,Kingston upon Thames,19.93684074,267
1995-09-01,LONDON,18.60277603,9249
1995-09-01,Lambeth,15.89987486,300
1995-09-01,Lewisham,17.25971033,307
1995-09-01,Merton,19.04110423,260
1995-09-01,NORTH EAST,35.72245433,2983
1995-09-01,NORTH WEST,32.40793634,8302
1995-09-01,Newham,19.62572821,217
1995-09-01,Outer London,21.06683563,5857
1995-09-01,Redbridge,22.52099668,338
1995-09-01,Richmond upon Thames,18.61411108,301
1995-09-01,SOUTH EAST,24.29786523,12698
1995-09-01,SOUTH WEST,25.48128155,7532
1995-09-01,Southwark,14.19228048,186
1995-09-01,Sutton,22.74050805,274
1995-09-01,Tower Hamlets,15.26849205,206
1995-09-01,WEST MIDLANDS,31.0807025,6439
1995-09-01,Waltham Forest,18.1711137,285
1995-09-01,Wandsworth,16.49819251,451
1995-09-01,Westminster,13.92445952,346
1995-09-01,YORKS & THE HUMBER,32.9281664,6364
1995-10-01,Barking & Dagenham,23.40788033,120
1995-10-01,Barnet,20.06304538,396
1995-10-01,Bexley,24.65314974,274
1995-10-01,Brent,17.32239833,282
1995-10-01,Bromley,21.95546089,392
1995-10-01,Camden,15.25981488,245
1995-10-01,City of London,13.78623541,14
1995-10-01,Croydon,23.86776049,423
1995-10-01,EAST MIDLANDS,29.38441301,5163
1995-10-01,EAST OF ENGLAND,24.19888526,7442
1995-10-01,Ealing,19.52616625,352
1995-10-01,Enfield,22.89048809,377
1995-10-01,England,26.05037067,61264
1995-10-01,Greenwich,19.97261539,203
1995-10-01,Hackney,14.40584084,133
1995-10-01,Hammersmith & Fulham,16.8553657,235
1995-10-01,Haringey,17.93900381,307
1995-10-01,Harrow,21.11383848,223
1995-10-01,Havering,24.27854107,227
1995-10-01,Hillingdon,22.07832157,276
1995-10-01,Hounslow,21.97386002,322
1995-10-01,Inner London,15.54516906,3142
1995-10-01,Islington,15.83269647,146
1995-10-01,Kensington & Chelsea,15.22859857,243
1995-10-01,Kingston upon Thames,20.08113731,232
1995-10-01,LONDON,18.4442226,8586
1995-10-01,Lambeth,15.77757427,272
1995-10-01,Lewisham,17.06289672,244
1995-10-01,Merton,18.74533363,240
1995-10-01,NORTH EAST,35.58358626,2674
1995-10-01,NORTH WEST,31.68897473,7705
1995-10-01,Newham,19.69909306,249
1995-10-01,Outer London,20.92836949,5444
1995-10-01,Redbridge,22.43283974,302
1995-10-01,Richmond upon Thames,18.27396168,255
1995-10-01,SOUTH EAST,24.21228216,11356
1995-10-01,SOUTH WEST,25.49096761,6852
1995-10-01,Southwark,13.61512037,177
1995-10-01,Sutton,22.74908026,264
1995-10-01,Tower Hamlets,15.24119949,143
1995-10-01,WEST MIDLANDS,31.25604551,5730
1995-10-01,Waltham Forest,17.88308871,284
1995-10-01,Wandsworth,16.29465221,434
1995-10-01,Westminster,13.77295325,300
1995-10-01,YORKS & THE HUMBER,32.54051412,5756
1995-11-01,Barking & Dagenham,23.10566773,127
1995-11-01,Barnet,19.69800691,405
1995-11-01,Bexley,24.39186982,299
1995-11-01,Brent,17.20842378,300
1995-11-01,Bromley,22.14202499,372
1995-11-01,Camden,14.99483003,208
1995-11-01,City of London,15.01092665,11
1995-11-01,Croydon,23.84876381,462
1995-11-01,EAST MIDLANDS,29.2623997,5463
1995-11-01,EAST OF ENGLAND,24.47817933,7892
1995-11-01,Ealing,19.222974,329
1995-11-01,Enfield,22.77618655,424
1995-11-01,England,26.02230155,63955
1995-11-01,Greenwich,20.07932582,205
1995-11-01,Hackney,14.32445397,154
1995-11-01,Hammersmith & Fulham,16.64884035,208
1995-11-01,Haringey,17.79382675,289
1995-11-01,Harrow,21.05062084,252
1995-11-01,Havering,23.83065904,320
1995-11-01,Hillingdon,21.70555012,309
1995-11-01,Hounslow,21.79609242,359
1995-11-01,Inner London,15.40532871,3099
1995-11-01,Islington,15.41896441,125
1995-11-01,Kensington & Chelsea,15.20340606,269
1995-11-01,Kingston upon Thames,19.80717464,259
1995-11-01,LONDON,18.3984759,8930
1995-11-01,Lambeth,15.42358138,281
1995-11-01,Lewisham,17.06333156,278
1995-11-01,Merton,18.82626969,278
1995-11-01,NORTH EAST,35.61723962,2620
1995-11-01,NORTH WEST,31.85455294,8084
1995-11-01,Newham,19.53169368,238
1995-11-01,Outer London,20.82833697,5831
1995-11-01,Redbridge,22.27168909,316
1995-11-01,Richmond upon Thames,18.39586633,274
1995-11-01,SOUTH EAST,24.32193031,11978
1995-11-01,SOUTH WEST,25.27235319,6939
1995-11-01,Southwark,13.80281538,201
1995-11-01,Sutton,22.95867844,267
1995-11-01,Tower Hamlets,15.32661218,139
1995-11-01,WEST MIDLANDS,30.56411198,6011
1995-11-01,Waltham Forest,18.16961584,274
1995-11-01,Wandsworth,16.15555233,386
1995-11-01,Westminster,13.48906401,312
1995-11-01,YORKS & THE HUMBER,32.43507676,6038
1995-12-01,Barking & Dagenham,23.14952078,109
1995-12-01,Barnet,19.75235101,435
